X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-77.0271696472001,38.9182077793669,11th & V St NW,classic,c361d993-ebd8-4110-b10e-6bd2055fbe05,,2023/12/01 10:50:02+00,18,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,18,"KEY,CREDITCARD",42,DCA-CABI,,38.918199,-77.027171,2023/12/01 10:52:27+00,146014919
-77.2054359977207,38.9003829574093,Pimmit Dr & Los Pueblos Ln,classic,39d08937-66b3-4fd8-89d0-49e5144f1922,,2023/12/01 10:50:00+00,6,0,6,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",104,DCA-CABI,,38.900371,-77.205428,2023/12/01 10:52:27+00,146014920
-77.0534844560023,38.9038303890178,25th St & Pennsylvania Ave NW,classic,0824cfe7-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:01+00,5,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.903827,-77.053485,2023/12/01 10:52:27+00,146014921
-77.2176717790151,38.9244491693927,Westpark & Jones Branch Dr,classic,0826366d-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:51+00,2,0,9,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",104,DCA-CABI,,38.924437,-77.217664,2023/12/01 10:52:27+00,146014922
-77.0346817365302,38.9054319626643,15th & M St NW,classic,7fcbf92d-a257-4973-828b-181d5602eee5,,2023/12/01 10:50:39+00,1,0,17,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.905424,-77.034674,2023/12/01 10:52:27+00,146014923
-76.9266002038717,38.8795870440756,Woody Ward Rec Center,classic,c51f0090-a4f9-416d-a18b-6e0505b1dca1,,2023/12/01 10:51:15+00,13,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.879575,-76.926596,2023/12/01 10:52:27+00,146014924
-77.0406262381331,38.917771475614,California St & Florida Ave NW,classic,082516c1-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:51:18+00,16,0,1,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.917761,-77.04062,2023/12/01 10:52:27+00,146014925
-77.0478457642471,38.8334411169982,Potomac Yard Metro South,classic,1869388517211023780,,2023/12/01 10:50:05+00,5,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",,DCA-CABI,,38.833437,-77.047846,2023/12/01 10:52:27+00,146014926
-77.0256713873001,38.9203971420929,10th St & Florida Ave NW,classic,08259009-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:51:06+00,17,0,2,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.920387,-77.025672,2023/12/01 10:52:27+00,146014927
-77.1093335327777,39.049004188511,Citadel Ave & McGrath Blvd,classic,97506e92-1d23-4396-8ec8-e1901ccc22fa,,2023/12/01 10:50:07+00,2,0,12,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",43,DCA-CABI,,39.049,-77.10933,2023/12/01 10:52:27+00,146014928
-76.9783972766365,38.8657892191988,Anacostia Library,classic,0824980b-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:08+00,7,0,4,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",42,DCA-CABI,,38.865784,-76.9784,2023/12/01 10:52:27+00,146014929
-77.0395130985468,38.8650368325131,Gravelly Point,classic,08256742-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:08+00,6,0,10,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,17,"KEY,CREDITCARD",41,DCA-CABI,,38.865029,-77.039511,2023/12/01 10:52:27+00,146014930
-77.0450060323721,38.8963119812627,20th & E St NW,classic,08247aa4-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:08+00,12,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.8963,-77.045,2023/12/01 10:52:27+00,146014931
-77.059823614156,38.8330842618635,Mount Vernon Ave & Kennedy St,classic,0825fa22-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:51:22+00,10,0,5,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",40,DCA-CABI,,38.833077,-77.059821,2023/12/01 10:52:27+00,146014932
-77.0820860135494,38.8925623436231,Wilson Blvd & N Troy St,classic,d39e9b29-0ba7-453f-9f1e-b0a856d448b7,,2023/12/01 10:50:10+00,13,0,2,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,DCA-CABI,,38.892556,-77.082089,2023/12/01 10:52:27+00,146014933
-77.0441024900751,38.8705663540975,Long Bridge Aquatic Center,classic,065defed-8e90-46b9-a106-28d590704cf8,,2023/12/01 10:51:18+00,10,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,DCA-CABI,,38.870561,-77.044095,2023/12/01 10:52:27+00,146014934
