X,Y,NAME,WEB_URL,EXIT_TO_ST,LINE,ADDRESS,FEATURECODE,DESCRIPTION,CAPTUREYEAR,MAR_ID,GIS_ID,OBJECTID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,ROUTEID,MEASURE,BLOCKKEY,SUBBLOCKKEY,BLOCKFACEKEY,SIDE
-77.0349525712365,38.9011372925325,MCPHERSON SQUARE,http://www.wmata.com/rail/station_detail.cfm?station_id=36,SW CORNER OF VERMONT AVENUE NW AND I STREET NW,"blue, orange, silver","820 VERMONT ST NW, WASHINGTON, DC 20005",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294841,MetroEntPt_54,381,,{BE45F3B5-65F3-4EC3-8106-AC5CF8BE5AD3},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11047772,2041.40002441406,fc7ed140160e21f7aee78840827d726e,25996af94b6093575600b0e08de9870c,9079b3b0e34e8635598362dd07c073e5,Left
-77.0322275340471,38.900922325888,MCPHERSON SQUARE,http://www.wmata.com/rail/station_detail.cfm?station_id=36,SW CORNER OF 14TH STREET NW AND I STREET NW,"blue, orange, silver","1400 I STREET NW, WASHINGTON, DC 20005",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294841,MetroEntPt_56,383,,{D82DB26A-2C0A-42A8-BAA0-E606A3367907},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11001402,1264.19995117188,c0deae43d727ee5c2c2799c5c52584f4,6d3ec3a487710ded909b29982d0d5cc9,60673f56c29ca5eac0b6b9dbd9c26a5f,Left
-77.0216556756703,38.8996400548384,GALLERY PL-CHINATOWN,http://www.wmata.com/rail/station_detail.cfm?station_id=21,SE CORNER OF 7TH STREET NW AND H STREET NW,"red, green, yellow","630 H STREET NW, WASHINGTON, DC 20001",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294833,MetroEntPt_59,385,,{16CCD9B6-8CAD-4E51-BF16-BC33BC1411F6},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,11042442,1184.69995117188,d27e54246ab6d2b8fac9e6fa07ceb8c8,6844a5def96196793c4f126fc5687d2f,e47364e6a516bd7087004c0f0a23b66e,Left
-76.9468285765765,38.8995769758175,MINNESOTA AVE,http://www.wmata.com/rail/station_detail.cfm?station_id=64,SW SIDE OF KENILWORTH AVENUE NE,orange,"4000 MINNESOTA AVENUE NE, WASHINGTON, DC 20019",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294856,MetroEntPt_60,386,,{571FE35D-588D-4403-9BFF-E2ED2C2FBD74},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,12051803,1469.80004882812,223a93d4e914ff64eb7b5310f078a592,d21946dfa7724f6d04c5d97e7dc68909,8f88f8eacfc5aaedc633f3eb08f882ae,Right
-76.9469270047681,38.8986148733256,MINNESOTA AVE,http://www.wmata.com/rail/station_detail.cfm?station_id=64,NW SIDE OF MINNESOTA AVENUE NE,orange,"4000 MINNESOTA AVENUE NE, WASHINGTON, DC 20019",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294856,MetroEntPt_64,389,,{102F943D-27AD-4770-AFF9-72A9A20893AA},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,12061162,1130.69995117188,72b21a1d7f27c4930f68b811818827d5,88352eec5365d644a5a7064e7c561b99,802917ab543845797c08770d4fa66021,Left
-77.0278938762469,38.898526550385,METRO CENTER,http://www.wmata.com/rail/station_detail.cfm?station_id=1,NE CORNER OF G STREET NW AND 12TH STREET NW ,"red, blue, orange, silver","701 12TH STREET NW, WASHINGTON, DC 20005",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294812,MetroEntPt_65,390,,{29B3BFD3-A738-4E9A-92E7-AEFC2CEBA2A4},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11001202,895,1a81a26188269109a590cbfe306f0ca6,79ab87df4d60a402eea66caa07b13004,c13e6737a8670b590a3e42636f6a199e,Right
-77.0294075075927,38.8984401943104,METRO CENTER,http://www.wmata.com/rail/station_detail.cfm?station_id=1,NE CORNER OF G STREET NW AND 13TH STREET NW,"red, blue, orange, silver","607 13TH STREET NW, WASHINGTON, DC 20005",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294812,MetroEntPt_66,391,,{39414F55-F04B-4875-911F-9289C674201B},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11038612,1509.09997558594,69a1e65b6636ea005b59e7efff05727d,411d7edfd39ef7c8230c1fee4443d6b4,2d2466865c4fdaaaedf59987d3d92b0c,Right
-77.0266718899543,38.8984347703224,METRO CENTER,http://www.wmata.com/rail/station_detail.cfm?station_id=1,NE CORNER OF G STREET NW AND 11TH STREET NW,"red, blue, orange, silver","665 11TH STREET NW, WASHINGTON, DC 20005",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294812,MetroEntPt_67,392,,{FF11BE64-7D9E-430F-9BA0-9FDAEBB7BC10},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11038612,1271.90002441406,cdd58470a73c57d0214d16c134c7f0b2,cdd58470a73c57d0214d16c134c7f0b2,42a1073e0cc75db50b96397de25dffca,Right
-77.0072287549057,38.8983995224493,UNION STATION,http://www.wmata.com/rail/station_detail.cfm?station_id=25,NE CORNER OF MASSACHUSETTS AVE NE AND 1 ST NE,red,"701 1ST STREET NE, WASHINGTON, DC 20002",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294849,MetroEntPt_68,393,,{8C1B5A72-0575-4515-8EB5-ECB09A6D7090},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,12000102,861.400024414062,6756a92ec8db4c1c36ac572b83cfdb9a,6756a92ec8db4c1c36ac572b83cfdb9a,4ddb992257036a82eda9336a81cffc15,Right
-77.0267940454131,38.8980808127736,METRO CENTER,http://www.wmata.com/rail/station_detail.cfm?station_id=1,SE CORNER OF G STREET NW AND 11TH STREET NW,"red, blue, orange, silver","665 11TH STREET NW, WASHINGTON, DC 20005",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294812,MetroEntPt_69,394,,{8B50FDFA-5F19-452F-BF67-600BBCEE3F2D},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11001102,370.399993896484,7f1692ec4ce1e02491d41cce3d7fee7b,7f1692ec4ce1e02491d41cce3d7fee7b,bdd07d5df04f1d67961e943baa55dc02,Right
